model,dataset,metric,value,source_file,source_type,metric_definition
ChangeFormer,LEVIR-CD,params,TBD,,missing,unknown
ChangeFormer,LEVIR-CD,flops,TBD,,missing,unknown
ChangeFormer,LEVIR-CD,F1_1,TBD,,missing,F1_1
ChangeFormer,LEVIR-CD,IoU_1,TBD,,missing,IoU_1
ChangeFormer,LEVIR-CD,OA,TBD,,missing,OA
ChangeFormer,WHU-CD,params,TBD,,missing,unknown
ChangeFormer,WHU-CD,flops,TBD,,missing,unknown
ChangeFormer,WHU-CD,F1_1,TBD,,missing,F1_1
ChangeFormer,WHU-CD,IoU_1,TBD,,missing,IoU_1
ChangeFormer,WHU-CD,OA,TBD,,missing,OA
ChangeFormer,DSIFN-CD,params,TBD,,missing,unknown
ChangeFormer,DSIFN-CD,flops,TBD,,missing,unknown
ChangeFormer,DSIFN-CD,F1_1,TBD,,missing,F1_1
ChangeFormer,DSIFN-CD,IoU_1,TBD,,missing,IoU_1
ChangeFormer,DSIFN-CD,OA,TBD,,missing,OA
ChangeFormer,SECOND,params,TBD,,missing,unknown
ChangeFormer,SECOND,flops,TBD,,missing,unknown
ChangeFormer,SECOND,OA,TBD,,missing,OA
ChangeFormer,SECOND,Fscd,TBD,,missing,Fscd
ChangeFormer,SECOND,mIoU,TBD,,missing,mIoU
ChangeFormer,SECOND,SeK,TBD,,missing,SeK
BIT,LEVIR-CD,params,TBD,,missing,unknown
BIT,LEVIR-CD,flops,TBD,,missing,unknown
BIT,LEVIR-CD,F1_1,TBD,,missing,F1_1
BIT,LEVIR-CD,IoU_1,TBD,,missing,IoU_1
BIT,LEVIR-CD,OA,TBD,,missing,OA
BIT,WHU-CD,params,TBD,,missing,unknown
BIT,WHU-CD,flops,TBD,,missing,unknown
BIT,WHU-CD,F1_1,TBD,,missing,F1_1
BIT,WHU-CD,IoU_1,TBD,,missing,IoU_1
BIT,WHU-CD,OA,TBD,,missing,OA
BIT,DSIFN-CD,params,TBD,,missing,unknown
BIT,DSIFN-CD,flops,TBD,,missing,unknown
BIT,DSIFN-CD,F1_1,TBD,,missing,F1_1
BIT,DSIFN-CD,IoU_1,TBD,,missing,IoU_1
BIT,DSIFN-CD,OA,TBD,,missing,OA
BIT,SECOND,params,TBD,,missing,unknown
BIT,SECOND,flops,TBD,,missing,unknown
BIT,SECOND,OA,TBD,,missing,OA
BIT,SECOND,Fscd,TBD,,missing,Fscd
BIT,SECOND,mIoU,TBD,,missing,mIoU
BIT,SECOND,SeK,TBD,,missing,SeK
SNUNet,LEVIR-CD,params,TBD,,missing,unknown
SNUNet,LEVIR-CD,flops,TBD,,missing,unknown
SNUNet,LEVIR-CD,F1_1,TBD,,missing,F1_1
SNUNet,LEVIR-CD,IoU_1,TBD,,missing,IoU_1
SNUNet,LEVIR-CD,OA,TBD,,missing,OA
SNUNet,WHU-CD,params,TBD,,missing,unknown
SNUNet,WHU-CD,flops,TBD,,missing,unknown
SNUNet,WHU-CD,F1_1,TBD,,missing,F1_1
SNUNet,WHU-CD,IoU_1,TBD,,missing,IoU_1
SNUNet,WHU-CD,OA,TBD,,missing,OA
SNUNet,DSIFN-CD,params,TBD,,missing,unknown
SNUNet,DSIFN-CD,flops,TBD,,missing,unknown
SNUNet,DSIFN-CD,F1_1,TBD,,missing,F1_1
SNUNet,DSIFN-CD,IoU_1,TBD,,missing,IoU_1
SNUNet,DSIFN-CD,OA,TBD,,missing,OA
SNUNet,SECOND,params,TBD,,missing,unknown
SNUNet,SECOND,flops,TBD,,missing,unknown
SNUNet,SECOND,OA,TBD,,missing,OA
SNUNet,SECOND,Fscd,TBD,,missing,Fscd
SNUNet,SECOND,mIoU,TBD,,missing,mIoU
SNUNet,SECOND,SeK,TBD,,missing,SeK
STANet,LEVIR-CD,params,TBD,,missing,unknown
STANet,LEVIR-CD,flops,TBD,,missing,unknown
STANet,LEVIR-CD,F1_1,TBD,,missing,F1_1
STANet,LEVIR-CD,IoU_1,TBD,,missing,IoU_1
STANet,LEVIR-CD,OA,TBD,,missing,OA
STANet,WHU-CD,params,TBD,,missing,unknown
STANet,WHU-CD,flops,TBD,,missing,unknown
STANet,WHU-CD,F1_1,TBD,,missing,F1_1
STANet,WHU-CD,IoU_1,TBD,,missing,IoU_1
STANet,WHU-CD,OA,TBD,,missing,OA
STANet,DSIFN-CD,params,TBD,,missing,unknown
STANet,DSIFN-CD,flops,TBD,,missing,unknown
STANet,DSIFN-CD,F1_1,TBD,,missing,F1_1
STANet,DSIFN-CD,IoU_1,TBD,,missing,IoU_1
STANet,DSIFN-CD,OA,TBD,,missing,OA
STANet,SECOND,params,TBD,,missing,unknown
STANet,SECOND,flops,TBD,,missing,unknown
STANet,SECOND,OA,TBD,,missing,OA
STANet,SECOND,Fscd,TBD,,missing,Fscd
STANet,SECOND,mIoU,TBD,,missing,mIoU
STANet,SECOND,SeK,TBD,,missing,SeK
Mamba-CD,LEVIR-CD,params,TBD,,missing,unknown
Mamba-CD,LEVIR-CD,flops,TBD,,missing,unknown
Mamba-CD,LEVIR-CD,F1_1,TBD,,missing,F1_1
Mamba-CD,LEVIR-CD,IoU_1,TBD,,missing,IoU_1
Mamba-CD,LEVIR-CD,OA,TBD,,missing,OA
Mamba-CD,WHU-CD,params,TBD,,missing,unknown
Mamba-CD,WHU-CD,flops,TBD,,missing,unknown
Mamba-CD,WHU-CD,F1_1,TBD,,missing,F1_1
Mamba-CD,WHU-CD,IoU_1,TBD,,missing,IoU_1
Mamba-CD,WHU-CD,OA,TBD,,missing,OA
Mamba-CD,DSIFN-CD,params,TBD,,missing,unknown
Mamba-CD,DSIFN-CD,flops,TBD,,missing,unknown
Mamba-CD,DSIFN-CD,F1_1,TBD,,missing,F1_1
Mamba-CD,DSIFN-CD,IoU_1,TBD,,missing,IoU_1
Mamba-CD,DSIFN-CD,OA,TBD,,missing,OA
Mamba-CD,SECOND,params,TBD,,missing,unknown
Mamba-CD,SECOND,flops,TBD,,missing,unknown
Mamba-CD,SECOND,OA,TBD,,missing,OA
Mamba-CD,SECOND,Fscd,TBD,,missing,Fscd
Mamba-CD,SECOND,mIoU,TBD,,missing,mIoU
Mamba-CD,SECOND,SeK,TBD,,missing,SeK
