Model,Dataset,Params_M,FLOPs_G,mF1,F1_1,mIoU,IoU_1,Precision_1,Recall_1,OA,Boundary_F1,Edge_IoU,Threshold,Status,Source
BIT,LEVIR-CD,,,,,,,,,,,,,FAILED,BIT model class was not identified automatically
BIT,WHU-CD,,,,,,,,,,,,,MISSING_CHECKPOINT,checkpoint not discovered
BIT,DSIFN-CD,,,,,,,,,,,,,MISSING_CHECKPOINT,checkpoint not discovered
ChangeFormer,LEVIR-CD,,,,,,,,,,,,,FAILED,models.ChangeFormer: No module named 'models.ChangeFormer'; ChangeFormer: No module named 'ChangeFormer'; models.networks: No module named 'models.networks'; /storage2/ChangeDetection/MV/MambaRefine-CD/external/ChangeFormer/models/ChangeFormer.py: No module named 'models.ChangeFormerBaseNetworks'; /storage2/ChangeDetection/MV/MambaRefine-CD/external/ChangeFormer/models/networks.py: No module named 'models.help_funcs'
ChangeFormer,WHU-CD,,,,,,,,,,,,,MISSING_CHECKPOINT,checkpoint not discovered
ChangeFormer,DSIFN-CD,,,,,,,,,,,,,FAILED,DSIFNCDDataset [test]: could not find A/t1 dir under /storage2/ChangeDetection/MV/Datasets/DSIFN-CD.
Mamba-CD,LEVIR-CD,,,,,,,,,,,,,MANUAL_REQUIRED,checkpoint not discovered
Mamba-CD,WHU-CD,,,,,,,,,,,,,MANUAL_REQUIRED,checkpoint not discovered
Mamba-CD,DSIFN-CD,,,,,,,,,,,,,MANUAL_REQUIRED,checkpoint not discovered
MambaRefine-CD,LEVIR-CD,112.7362,TBD,,,,,,,,,,,FAILED,"CUDA out of memory. Tried to allocate 516.00 MiB. GPU 0 has a total capacity of 31.74 GiB of which 49.19 MiB is free. Process 48954 has 11.54 GiB memory in use. Process 79099 has 13.40 GiB memory in use. Process 86936 has 4.79 GiB memory in use. Including non-PyTorch memory, this process has 1.92 GiB memory in use. Of the allocated memory 1.35 GiB is allocated by PyTorch, and 212.20 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
MambaRefine-CD,WHU-CD,112.7362,TBD,,,,,,,,,,,FAILED,"CUDA out of memory. Tried to allocate 512.00 MiB. GPU 0 has a total capacity of 31.74 GiB of which 327.19 MiB is free. Process 48954 has 11.54 GiB memory in use. Process 79099 has 13.40 GiB memory in use. Process 86936 has 4.79 GiB memory in use. Including non-PyTorch memory, this process has 1.65 GiB memory in use. Of the allocated memory 860.86 MiB is allocated by PyTorch, and 451.14 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
MambaRefine-CD,DSIFN-CD,112.7362,TBD,,,,,,,,,,,FAILED,checkpoint not configured
SNUNet,LEVIR-CD,,,,,,,,,,,,,MANUAL_REQUIRED,checkpoint not discovered
SNUNet,WHU-CD,,,,,,,,,,,,,MANUAL_REQUIRED,checkpoint not discovered
SNUNet,DSIFN-CD,,,,,,,,,,,,,MANUAL_REQUIRED,checkpoint not discovered
STANet,LEVIR-CD,,,,,,,,,,,,,MANUAL_REQUIRED,checkpoint not discovered
STANet,WHU-CD,,,,,,,,,,,,,MANUAL_REQUIRED,checkpoint not discovered
STANet,DSIFN-CD,,,,,,,,,,,,,MANUAL_REQUIRED,checkpoint not discovered
